word,type
cuestionar,csubj
la,det
idoneidad,obj
de,case
nuestro,det
ministro,nmod
de,case
educación,flat
",",punct
dejando,advcl
entrever,xcomp
que,mark
su,det
orientación,nsubj
sexual,amod
es,cop
un,det
sesgo,ccomp
para,mark
ejercer,advcl
sus,det
labores,obj
de,case
"""",punct
manera,obl
adecuada,amod
"""",punct
",",punct
es,cop
homofobia,ROOT
",",punct
por,case
donde,obl
se,expl:impers
mire,advcl
.,punct
quieran,ROOT
hablar,xcomp
de,case
"""",punct
gestión,obj
o,cc
pendientes,conj
"""",punct
",",punct
eso,nsubj
es,cop
solo,advmod
humo,advcl
para,mark
cubrir,advcl
esa,det
odiosidad,obj
.,punct
la,det
educación,nsubj
sexual,flat
integral,flat
es,cop
una,det
necesidad,ROOT
social,amod
que,nsubj
debe,aux
resolver,acl
la,det
escuela,obj
",",punct
porque,mark
no,advmod
todos,det
los,det
niños,nsubj
y,cc
niñas,conj
tienen,advcl
una,det
buena,amod
educación,obj
en,case
sus,det
familias,obl
(,punct
pueden,aux
no,advmod
tener,advcl
familia,obj
incluso,advmod
),punct
o,cc
ser,aux
abusados,conj
dentro,advmod
de,case
la,det
familia,obl
.,punct
la,det
esi,nsubj
les,obj
ayuda,ROOT
de,mark
entender,xcomp
qué,obj
es,dep
el,det
abuso,advcl
vivir,csubj
la,det
homofobia,obj
en,case
plena,amod
educación,obl
escolar,amod
es,cop
horrible,ROOT
.,punct
esto,nsubj
es,ROOT
lo,det
que,nsubj
se,expl:pass
necesita,ccomp
para,mark
terminar,advcl
con,case
la,det
violencia,obl
contra,case
estudiantes,nmod
lgbtq+,amod
",",punct
que,nsubj
muchas,det
veces,obl
tiene,acl
espacios,obj
en,case
el,det
bullying,nmod
.,punct
no,advmod
son,cop
"""",punct
leseras,ROOT
"""",punct
ni,cc
"""",punct
ideologías,conj
"""",punct
",",punct
son,cop
acciones,advcl
para,mark
terminar,acl
con,case
la,det
discriminación,obl
!,punct
el,det
nivel,ROOT
de,case
odio,nmod
y,cc
homofobia,conj
en,case
esta,det
“,det
interpelación,nmod
”,amod
ufffff,amod
y,cc
los,det
gays,conj
de,case
derecha,nmod
?,punct
van,ROOT
a,mark
defender,xcomp
esto,obj
?,punct
porq,ROOT
después,advmod
de,case
ávila,obl
irán,flat
x,cc
uds,conj
",",punct
q,cc
lo,obj
tengan,conj
claro,advmod
anuncios,nsubj
de,case
interpelación,nmod
y,cc
acusación,conj
constitucional,amod
al,case
ministro,flat
@profmarcoavila,appos
son,cop
un,det
jugo,ROOT
.,punct
el,det
@mineduc,nsubj
tiene,ROOT
cifras,obj
para,mark
mostrar,acl
que,mark
estamos,aux
trayendo,ccomp
de,case
vuelta,compound
estudiantes,obj
a,case
las,det
aulas,obj
post,amod
pandemia,flat
",",punct
y,cc
las,det
orientaciones,nsubj
por,case
inclusión,nmod
y,cc
no,advmod
discriminación,conj
existen,advcl
hace,advcl
años,obj
.,punct
aerolíneas,nsubj
tiene,ROOT
una,det
pilota,amod
trans,obj
y,cc
es,cop
motivo,conj
de,case
enojo,nmod
e,cc
indignación,conj
de,case
la,det
“,nmod
gente,flat
”,amod
que,nsubj
no,advmod
puede,aux
comprender,acl
una,det
transición,obj
.,punct
eso,nsubj
habla,ROOT
de,case
los,det
estereotipos,obj
que,obj
crea,acl
la,det
gente,nsubj
sobre,case
nuestra,det
imagen,nmod
y,cc
sobre,case
qué,nmod
tan,advmod
“,flat
femeninas,amod
”,nsubj
nos,obj
tenemos,advcl
que,cc
lucir,conj
para,case
el,det
resto,obl
.,punct
yo,ROOT
la,det
aplaudo,punct
5,nummod
años,ROOT
ya,advmod
del,case
#,nmod
mayofeminista,amod
en,case
universidades,nmod
y,cc
comunidades,conj
educativas,amod
el,det
rol,ROOT
de,case
la,det
comunidad,nmod
académica,amod
frente,case
al,det
hostigamiento,nmod
y,cc
la,det
violencia,conj
sexista,amod
",",punct
clasista,conj
y,cc
racista,conj
que,nsubj
vive,acl
una,nsubj
de,case
nosotras,nmod
",",punct
y,cc
donde,obl
el,det
ethos,nsubj
de,mark
lo,det
que,nsubj
es,acl
hacer,ccomp
academia,obj
es,cop
el,det
tema,conj
de,case
discusión,nmod
.,punct
es,cop
tiempo,ROOT
de,mark
actuar,acl
",",punct
antes,advmod
que,mark
sea,cop
demasiado,advmod
tarde,advmod
.,punct
es,cop
inaceptable,ROOT
la,det
persecución,nsubj
política,amod
",",punct
hostigamiento,appos
",",punct
racismo,conj
y,cc
clasismo,conj
que,nsubj
ha,aux
sido,aux
expuesta,acl
la,det
dra,nsubj
elisa,flat
loncon,flat
.,punct
ya,advmod
sabemos,ROOT
lo,det
que,nsubj
puede,aux
venir,xcomp
para,case
muchas,obl
de,case
nosotras,nmod
.,punct
hoy,advmod
",",punct
por,case
2da,obl
vez,compound
",",punct
fue,aux
declarado,ROOT
culpable,obj
martin,nsubj
pradenas,flat
de,case
7,nummod
delitos,obl
en,case
contra,fixed
de,fixed
6,nummod
mujeres,nmod
;,punct
5,nummod
abusos,obl
sexuales,amod
y,cc
2,nummod
violaciones,conj
.,punct
silvana,nsubj
del,case
valle,flat
",",punct
abogada,appos
querellantes,obj
de,case
la,det
familia,nmod
de,case
antonia,nmod
barra,flat
señaló,ROOT
:,punct
para,mark
llegar,dep
a,case
una,det
alta,amod
pena,obl
el,det
tribunal,nsubj
tendrá,ROOT
que,cc
desechar,conj
la,det
atenuante,obj
de,case
irreprochable,amod
conducta,nmod
anterior,amod
y,cc
la,conj
de,case
colaboración,obj
sustancial,amod
con,case
la,det
justicia,nmod
.,punct
tribunal,nsubj
rechazó,ROOT
agravantes,obj
de,case
ley,nmod
zamudio,flat
",",punct
alevosía,appos
y,cc
de,case
desprecio,conj
por,case
la,det
valoración,nmod
de,case
las,det
víctimas,nmod
.,punct
violencia,ROOT
contra,case
las,det
mujeres,nmod
:,punct
cualquier,det
acción,appos
o,cc
conducta,conj
basada,amod
en,case
su,det
género,obj
que,mark
cause,acl
daño,obj
o,cc
sufrimiento,conj
físico,amod
",",punct
sexual,amod
o,cc
psicológico,conj
en,case
el,det
ámbito,nmod
privado,amod
o,cc
público,conj
.,punct
así,advmod
reza,ROOT
la,det
belem,nsubj
do,case
para,case
tanto,det
daño,nmod
.,punct
tanto,cc
sufrimiento,ROOT
.,punct
a,case
tantas,det
mujeres,ROOT
.,punct
"""",punct
la,det
cultura,ROOT
de,case
la,det
violación,nmod
y,cc
la,det
normalización,conj
de,case
la,det
violencia,nmod
"""",punct
mi,det
artículo,appos
en,case
la,det
edición,nmod
chilena,amod
de,case
le,nmod
monde,flat
diplomatique,nmod
la,det
iniciativa,nsubj
que,nsubj
busca,acl
regular,xcomp
el,det
acoso,obj
laboral,amod
",",punct
sexual,appos
y,cc
de,case
violencia,conj
de,case
género,nmod
cuenta,ROOT
con,case
el,det
patrocinio,obj
del,case
ejecutivo,nmod
.,punct
ahora,advmod
se,expl:pv
pronunciará,ROOT
el,det
senado,nsubj
.,punct
#,obl
derechoudp,compound
te,iobj
invita,ROOT
a,case
la,det
clase,iobj
abierta,amod
"""",punct
violencia,appos
de,case
género,nmod
en,case
dictadura,nmod
"""",punct
",",punct
que,nsubj
impartirá,acl
la,det
directora,obj
del,case
centro,nmod
de,case
#,flat
derechoshumanosudp,flat
",",punct
lidia,appos
casas,flat
becerra,flat
",",punct
el,det
5,appos
de,case
septiembre,compound
en,case
el,det
memorial,obl
camarín,flat
de,case
mujeres,flat
del,case
estadio,flat
nacional,flat
.,punct
a,case
través,fixed
del,det
conversatorio,obl
“,appos
construyendo,flat
institucionalidad,flat
de,case
género,flat
”,flat
la,det
facultad,nsubj
de,case
#,flat
educaciónuc,flat
inauguró,ROOT
la,det
nueva,amod
subdirección,obj
de,case
género,flat
de,case
la,det
facultad,flat
.,punct
mañana,advmod
estaremos,ROOT
con,case
sara,obj
ortiz,flat
de,case
@collectiupunt6,flat
 ,dep
carlos,flat
aguirre,flat
@caguirrn,case
la,det
@usansebastian,flat
y,cc
@grimalditwit,conj
 ,dep
de,case
chile21,nmod
conversando,advcl
sobre,case
la,det
perspectiva,obj
de,case
género,nmod
en,case
el,det
urbanismo,obl
.,punct
trabaja,ROOT
en,case
temas,obl
de,case
sexualidad,nmod
",",punct
género,conj
y,cc
disidencias,conj
?,punct
es,cop
activista,ROOT
y,cc
estos,det
temas,nsubj
son,cop
parte,conj
de,case
su,det
compromiso,nmod
político,amod
?,punct
venga,advcl
el,det
28,obl
de,case
septiembre,compound
a,case
las,det
16:00,obl
horas,compound
sala,compound
403,compound
de,case
vergara,nmod
240,compound
en,case
comunicación,obl
y,cc
letras,conj
 ,dep
udp,flat
a,mark
dialogar,advcl
james,nsubj
green,flat
les,obj
esperamos,ROOT
@cccastrog,nsubj
@icsoudp,punct
el,det
informe,nsubj
de,case
género,flat
aborda,ROOT
el,det
acceso,obj
y,cc
uso,conj
de,case
mujeres,nmod
y,cc
hombres,conj
a,case
los,det
productos,nmod
de,case
ahorro,nmod
",",punct
crédito,conj
",",punct
administración,appos
del,case
efectivo,nmod
",",punct
el,det
comportamiento,obj
de,case
pago,nmod
y,cc
la,det
participación,conj
de,case
la,det
mujer,nmod
en,case
puestos,nmod
directivos,amod
en,case
el,det
sistema,nmod
financiero,amod
.,punct
rechazamos,ROOT
la,det
decisión,obj
de,case
@pinguinodiario,nmod
de,mark
publicar,acl
el,det
rostro,obj
de,case
una,det
mujer,nmod
víctima,amod
de,case
violencia,nmod
de,case
género,nmod
",",punct
con,case
signos,nmod
de,case
golpes,nmod
.,punct
llamamos,ROOT
a,case
los,det
medios,obj
de,case
comunicación,nmod
a,mark
evitar,xcomp
el,det
morbo,obj
y,cc
el,det
sensacionalismo,conj
en,case
sus,det
coberturas,obl
.,punct
el,det
tratamiento,nsubj
de,case
noticias,nmod
sobre,case
vg,nmod
requiere,ROOT
formación,obj
para,mark
evitar,acl
la,det
revictimización,obj
y,cc
la,det
reproducción,conj
de,case
violencia,nmod
simbólica,amod
.,punct
es,cop
urgente,ROOT
subir,csubj
el,det
estándar,obj
y,cc
apuntar,conj
a,case
coberturas,fixed
con,case
enfoque,obj
de,case
género,nmod
y,cc
ddhh,conj
.,punct
para,case
ello,obl
",",punct
les,obj
recomendamos,ROOT
la,det
guía,nsubj
de,case
#,nmod
mediosnosexistas,punct
la,det
oficina,nsubj
de,case
género,flat
de,case
@derechouchile,flat
podrá,aux
orientar,ROOT
a,case
los,det
y,cc
las,det
estudiantes,obj
en,case
casos,obl
de,case
acoso,nmod
sexual,amod
",",punct
violencia,obj
de,case
género,nmod
y,cc
discriminación,conj
arbitraria,amod
por,case
razones,nmod
de,case
género,nmod
",",punct
entre,case
otros,nmod
.,punct
 ,dep
la,det
represión,nsubj
se,expl:pv
manifiesta,ROOT
con,case
aspectos,obl
de,case
género,nmod
.,punct
"""",punct
género,nsubj
y,cc
memorias,conj
"""",punct
se,expl:pass
incorpora,ROOT
en,case
el,det
libro,obl
de,case
códigos,nmod
:,punct
una,det
manera,appos
única,amod
de,mark
recordar,acl
influenciada,obj
por,case
roles,obj
de,case
género,nmod
.,punct
damos,ROOT
voz,obj
a,case
sujetos,obj
marginados,amod
",",punct
enriqueciendo,advcl
la,det
narrativa,obj
histórica,amod
.,punct
catalina,nsubj
álvarez,flat
y,cc
javiera,conj
rivano,flat
presentaron,ROOT
textos,obj
clave,nmod
.,punct
elizabeth,nsubj
jelin,flat
destaca,ROOT
cómo,obl
la,det
represión,nsubj
en,case
dictadura,nmod
afectó,ccomp
a,case
las,det
mujeres,obj
en,case
función,fixed
de,fixed
su,det
género,obl
.,punct
maría,nsubj
herminia,flat
di,flat
liscia,flat
explora,ROOT
el,det
papel,obj
subalterno,amod
de,case
las,det
mujeres,nmod
en,case
la,det
sociedad,nmod
patriarcal,amod
.,punct
las,det
experiencias,nsubj
de,case
mujeres,nmod
están,cop
vinculadas,ROOT
a,case
roles,obj
en,case
ámbitos,obl
privados,amod
y,cc
domésticos,conj
.,punct
la,det
maternidad,nsubj
y,cc
el,det
cuidado,conj
hacia,case
otros,nmod
moldean,ROOT
sus,det
relatos,obj
de,case
vida,nmod
.,punct
¿,punct
cómo,obl
impactó,ROOT
la,det
dictadura,obj
en,case
los,det
roles,obl
y,cc
expectativas,conj
de,case
género,nmod
?,punct
en,case
esta,det
muestra,obl
",",punct
así,cc
como,fixed
en,case
toda,det
su,det
obra,conj
",",punct
wynnie,nsubj
mynerva,flat
aborda,ROOT
el,det
cuerpo,obj
y,cc
el,det
género,conj
con,case
un,det
enfoque,obl
que,nsubj
desafía,acl
las,det
normas,obj
y,cc
el,det
miedo,conj
",",punct
proponiendo,advcl
la,det
libertad,obj
y,cc
el,det
placer,conj
como,mark
formas,obl
de,case
revolución,nmod
.,punct
google,nsubj
",",punct
por,advmod
favor,fixed
",",punct
permíteme,ROOT
escribir,xcomp
con,case
enfoque,obl
de,case
género,nmod
libremente,advmod
sin,mark
pasar,xcomp
por,case
tu,det
duro,amod
escrutinio,obl
en,case
el,det
lenguaje,obl
.,punct
#,expl:pv
hoyenlaumce,advcl
en,case
el,det
marco,obl
de,case
la,det
socialización,nmod
de,case
la,det
#,nmod
políticadegéneroumce,appos
",",punct
el,det
área,nsubj
de,case
trabajo,nmod
de,case
formación,nmod
de,case
la,det
oficina,flat
de,case
género,flat
y,cc
sexualidades,conj
realiza,ROOT
reunión,obj
de,case
transversalización,nmod
de,case
género,nmod
en,case
el,det
currículum,obl
de,case
pregrado,nmod
con,case
el,det
consejo,nmod
académico,flat
de,case
pedagogía,flat
en,case
artes,nmod
visuales,flat
.,punct
¡,punct
atención,ROOT
!,punct
quedan,ROOT
pocos,det
días,nsubj
para,mark
postular,advcl
a,case
nuestro,det
nuevo,amod
"""",punct
diplomado,obj
en,case
género,obl
:,punct
políticas,nsubj
públicas,amod
y,cc
sociedad,conj
"""",punct
.,punct
aún,advmod
hay,ROOT
descuentos,obj
vigentes,amod
.,punct
comienza,ROOT
el,det
7,obl
de,case
septiembre,compound
presidenta,ROOT
de,case
la,det
@cmfchile,flat
_,flat
",",punct
solange,conj
berstein,flat
",",punct
junto,case
al,det
decano,nmod
de,case
la,det
@fenuchile,flat
",",punct
josé,conj
de,case
gregorio,flat
y,cc
la,det
directora,conj
de,case
empresas,nmod
",",punct
karen,conj
ergas,flat
",",punct
durante,case
el,det
lanzamiento,nmod
de,case
la,det
vigésimo,amod
segunda,amod
versión,nmod
del,case
informe,nmod
de,case
género,flat
en,case
el,det
sistema,nmod
financiero,flat
de,case
la,det
cmf,flat
.,punct
las,det
mujeres,nsubj
asumieron,ROOT
roles,obj
políticos,amod
y,cc
públicos,conj
cuando,mark
sus,det
compañeros,nsubj
enfrentaron,advcl
represión,obj
.,punct
se,expl:impers
cuestiona,ROOT
por,case
qué,obl
algunas,det
mujeres,nsubj
son,aux
recordadas,csubj
y,cc
otras,conj
no,advmod
.,punct
la,det
reflexión,nsubj
sobre,case
género,nmod
y,cc
memoria,conj
nos,iobj
insta,ROOT
a,mark
explorar,xcomp
distintos,det
puntos,obj
de,case
vista,nmod
de,case
la,det
dictadura,nmod
.,punct
la,det
represión,nsubj
se,expl:pv
manifiesta,ROOT
con,case
aspectos,obl
de,case
género,nmod
.,punct
"""",punct
género,nsubj
y,cc
memorias,conj
"""",punct
se,expl:pass
incorpora,ROOT
en,case
el,det
libro,obl
de,case
códigos,nmod
:,punct
una,det
manera,appos
única,amod
de,mark
recordar,acl
influenciada,obj
por,case
roles,obj
de,case
género,nmod
.,punct
damos,ROOT
voz,obj
a,case
sujetos,obj
marginados,amod
",",punct
enriqueciendo,advcl
la,det
narrativa,obj
histórica,amod
.,punct
aquí,ROOT
en,case
el,det
paradero,obl
del,case
transporte,nmod
público,amod
",",punct
símbolo,appos
del,case
compañero,nmod
proletarios,amod
de,case
mi,det
pueblo,nmod
.,punct
con,case
igualdad,nmod
",",punct
perspectiva,ROOT
de,case
género,nmod
y,cc
combativo,conj
.,punct
donde,mark
no,advmod
hay,ROOT
luchas,obj
de,case
clases,nmod
sino,cc
clases,conj
de,case
lucha,nmod
y,cc
traslada,conj
al,case
pueblo,obl
por,case
las,det
abiertas,amod
y,cc
grandes,conj
alamedas,obl
.,punct
traductor,ROOT
.,punct
esperando,ROOT
micro,ROOT
revive,ROOT
el,det
seminario,nsubj
:,punct
“,nsubj
¿,punct
tiene,acl
género,obj
el,det
cerebro,obj
?,punct
”,appos
realizado,flat
en,case
conjunto,obl
con,case
@f_soymas,nmod
y,cc
transmitido,conj
por,case
@emoltv,obj
y,cc
youtube,conj
uai,flat
el,det
@ine_chile,nsubj
comienza,ROOT
la,det
recolección,obj
de,case
datos,nmod
de,case
la,det
2ª,nmod
encuesta,flat
nacional,flat
sobre,case
uso,nmod
del,case
tiempo,flat
(,punct
enut,appos
),punct
que,nsubj
contribuye,acl
a,mark
monitorear,xcomp
brechas,obj
de,case
género,nmod
para,mark
diseñar,acl
 ,dep
políticas,obj
públicas,amod
que,nsubj
promuevan,acl
la,det
corresponsabilidad,obj
social,amod
de,case
los,det
cuidados,nmod
",",punct
muy,advmod
bien,ROOT
:,punct
este,det
miércoles,obl
puerto,nsubj
montt,flat
celebrará,advcl
su,det
primera,amod
feria,obj
de,case
diversidad,nmod
sexual,flat
y,cc
de,case
género,conj
.,punct
tenemos,ROOT
una,det
buena,amod
noticia,obj
:,punct
el,det
isp,nsubj
fortalecerá,acl
el,det
control,obj
de,case
productos,nmod
farmacéuticos,amod
para,case
hormonoterapia,nmod
",",punct
gracias,case
a,fixed
la,det
adjudicación,obl
del,case
fondo,nmod
de,case
transversalización,flat
de,case
género,flat
del,case
@minmujeryeg,flat
#,flat
chileparatodas,flat
#,appos
minmujeryeg,nmod
en,case
contexto,obl
de,case
las,det
actividades,nmod
organizadas,amod
por,case
nuestra,det
facultad,obj
por,case
la,det
conmemoración,obl
de,case
los,det
50,nummod
años,nmod
del,case
golpe,nmod
de,case
estado,flat
en,case
chile,nmod
",",punct
invitamos,ROOT
a,mark
participar,xcomp
de,case
la,det
clase,obj
abierta,amod
"""",punct
violencia,appos
de,case
género,flat
en,case
dictadura,nmod
"""",punct
",",punct
que,nsubj
dictará,acl
la,det
directora,obj
del,case
centro,nmod
@ddhh_udp,flat
:,punct
lidia,flat
casas,flat
becerra,flat
el,det
subsecretario,nsubj
@rmontero,flat
_,flat
se,expl:pv
reunió,ROOT
con,case
la,det
embajadora,obl
del,case
reino,flat
unido,flat
en,case
chile,obl
",",punct
@louiseadesousa,obj
y,cc
avanzaron,conj
en,case
la,det
coordinación,obl
del,case
próximo,amod
